update_num,opponent_policy_id,num_eval_episodes,policy_win_frac,avg_game_length,avg_num_policy_decisions,avg_victory_points
725,100 updates ago,32,0.005859375,358.78125,88.8125,2.59375
750,random,32,0.0126953125,338.90625,88.5625,2.9375
750,25 updates ago,32,0.0068359375,363.96875,91.25,2.8125
750,50 updates ago,32,0.0078125,358.46875,89.65625,2.78125
750,100 updates ago,32,0.0087890625,327.1875,83.46875,2.875
775,random,32,0.0126953125,347.1875,91.125,3.0625
775,25 updates ago,32,0.0068359375,336.96875,81.3125,2.78125
775,50 updates ago,32,0.0107421875,413.375,99.78125,2.875
775,100 updates ago,32,0.0068359375,381.21875,93.96875,2.59375
800,random,32,0.0107421875,319.0625,80.5,3.03125
800,25 updates ago,32,0.009765625,311.78125,76.53125,2.71875
800,50 updates ago,32,0.0078125,352.3125,81.9375,2.59375
800,100 updates ago,32,0.0087890625,390.6875,96.4375,2.71875
