update_num,opponent_policy_id,num_eval_episodes,policy_win_frac,avg_game_length,avg_num_policy_decisions,avg_victory_points
25,random,32,0.0048828125,1905.59375,519.65625,5.5625
50,random,32,0.0078125,1618.90625,412.5,6.125
75,random,32,0.0126953125,1602.75,440.96875,6.78125
100,random,32,0.0107421875,1639.53125,431.0625,6.6875
100,25 updates ago,32,0.0126953125,1699.5,456.4375,7.03125
125,random,32,0.0126953125,1636.9375,438.5625,6.78125
125,25 updates ago,32,0.0126953125,2284.625,558.84375,7.375
150,random,32,0.0087890625,1910.65625,517.96875,6.40625
150,25 updates ago,32,0.0078125,2336.15625,616.40625,7.5
175,random,32,0.0126953125,1648.71875,441.5,7.03125
175,25 updates ago,32,0.013671875,2219.21875,557.3125,7.0
200,random,32,0.017578125,1759.46875,487.5,7.6875
200,25 updates ago,32,0.0126953125,1546.25,403.15625,6.34375
200,50 updates ago,32,0.01171875,1653.625,444.375,7.34375
225,random,32,0.005859375,1700.71875,432.0,5.625
225,25 updates ago,32,0.0126953125,2142.03125,542.09375,7.0
225,50 updates ago,32,0.0126953125,2258.6875,552.3125,7.1875
250,random,32,0.0029296875,1702.34375,450.84375,5.65625
250,25 updates ago,32,0.0048828125,1568.53125,378.25,4.90625
250,50 updates ago,32,0.0048828125,2209.21875,550.125,5.8125
275,random,32,0.01171875,1570.375,429.5,7.3125
275,25 updates ago,32,0.009765625,1542.125,393.53125,6.875
275,50 updates ago,32,0.013671875,1954.0625,493.09375,7.59375
300,random,32,0.0166015625,1643.21875,475.96875,8.03125
300,25 updates ago,32,0.015625,1765.96875,454.25,8.0625
300,50 updates ago,32,0.0107421875,1666.46875,442.34375,7.1875
325,random,32,0.015625,1791.65625,499.375,8.0625
325,25 updates ago,32,0.0087890625,1740.875,444.03125,6.625
325,50 updates ago,32,0.0146484375,2252.09375,580.40625,7.84375
350,random,32,0.005859375,1659.96875,459.5625,6.3125
350,25 updates ago,32,0.005859375,1724.96875,438.5,5.625
350,50 updates ago,32,0.0107421875,1684.09375,422.21875,6.78125
375,random,32,0.0107421875,1591.25,429.15625,6.3125
375,25 updates ago,32,0.005859375,1693.25,410.09375,5.09375
375,50 updates ago,32,0.0048828125,1531.28125,372.75,5.1875
400,random,32,0.00390625,1635.46875,427.625,5.75
400,25 updates ago,32,0.00390625,1589.59375,383.46875,5.625
400,50 updates ago,32,0.0078125,1671.15625,412.0,6.0
400,100 updates ago,32,0.013671875,1777.21875,456.40625,6.9375
425,random,32,0.01171875,1584.875,426.6875,7.0625
425,25 updates ago,32,0.0068359375,1705.21875,409.8125,6.125
425,50 updates ago,32,0.0087890625,1762.03125,447.8125,6.4375
425,100 updates ago,32,0.0107421875,2311.0,571.9375,7.28125
450,random,32,0.0087890625,1690.4375,450.46875,6.90625
450,25 updates ago,32,0.0078125,1799.15625,460.75,6.875
450,50 updates ago,32,0.0087890625,1570.3125,406.875,6.40625
450,100 updates ago,32,0.013671875,2238.40625,561.09375,7.6875
475,random,32,0.009765625,1685.3125,443.1875,6.53125
475,25 updates ago,32,0.009765625,2024.625,522.78125,7.0625
475,50 updates ago,32,0.0078125,1349.34375,339.3125,6.53125
475,100 updates ago,32,0.0166015625,2295.75,580.78125,8.0625
500,random,32,0.0068359375,1763.0,464.78125,6.4375
500,25 updates ago,32,0.017578125,2113.125,560.09375,7.4375
500,50 updates ago,32,0.0087890625,1495.125,377.15625,6.625
500,100 updates ago,32,0.009765625,1548.875,400.9375,6.53125
525,random,32,0.01171875,1918.09375,524.15625,7.09375
525,25 updates ago,32,0.0078125,1745.6875,436.84375,6.1875
525,50 updates ago,32,0.005859375,1716.40625,409.15625,5.4375
525,100 updates ago,32,0.0126953125,2051.90625,537.875,7.28125
550,random,32,0.0107421875,1745.3125,473.375,6.875
550,25 updates ago,32,0.0029296875,1352.21875,333.5625,5.40625
550,50 updates ago,32,0.01171875,1921.34375,488.46875,7.59375
550,100 updates ago,32,0.0087890625,1759.625,437.625,6.4375
575,random,32,0.005859375,1588.34375,410.1875,5.375
575,25 updates ago,32,0.005859375,1496.75,375.4375,6.15625
575,50 updates ago,32,0.017578125,1801.375,469.90625,7.78125
575,100 updates ago,32,0.0107421875,1571.625,399.96875,6.4375
600,random,32,0.0087890625,1692.21875,466.53125,6.84375
600,25 updates ago,32,0.009765625,1637.0625,404.3125,6.625
600,50 updates ago,32,0.0107421875,1767.1875,465.75,6.34375
600,100 updates ago,32,0.0087890625,1576.90625,397.40625,6.96875
625,random,32,0.0068359375,1962.15625,505.375,5.625
625,25 updates ago,32,0.0107421875,1783.3125,456.65625,6.71875
625,50 updates ago,32,0.01171875,1836.0,485.40625,6.875
625,100 updates ago,32,0.0048828125,1920.8125,487.6875,5.53125
650,random,32,0.0087890625,1926.6875,498.65625,6.34375
650,25 updates ago,32,0.0068359375,2035.90625,529.25,6.90625
650,50 updates ago,32,0.0078125,1593.84375,402.28125,6.15625
650,100 updates ago,32,0.0078125,1916.4375,491.4375,6.3125
675,random,32,0.009765625,1401.34375,378.40625,6.625
675,25 updates ago,32,0.0107421875,1663.28125,420.8125,7.46875
675,50 updates ago,32,0.00390625,1561.15625,382.1875,6.03125
675,100 updates ago,32,0.0078125,1606.40625,407.75,6.90625
700,random,32,0.0126953125,1350.65625,366.8125,6.9375
700,25 updates ago,32,0.01171875,1853.28125,466.5625,6.78125
700,50 updates ago,32,0.005859375,1456.375,360.4375,6.21875
700,100 updates ago,32,0.005859375,1416.71875,352.875,5.53125
725,random,32,0.0078125,1839.0,489.6875,7.09375
