num_games_complete,update_num,val_loss,action_loss,entropy_loss,total_policy_steps,total_elapsed_time,curr_entropy_coef,curr_reward_weight
0,1,0.0030265358138422014,-0.0210017197302174,0.10668066775798797,9600,0.020470579067866007,,
0,2,0.00023890309654840772,-0.032657937269080624,0.10523525102933252,14400,0.04038688672913445,,
0,3,0.00012307266224524936,-0.03853612739731034,0.10756545356909437,19200,0.059576962921354504,,
1,4,0.0001706386671836905,-0.03387434295447444,0.10730873394012465,24000,0.07877101639906565,,
5,5,0.00031929230732809325,-0.03681923443206567,0.10230150713523235,28800,0.09843643565972646,,
10,6,0.001335308075916449,-0.03468283466694023,0.1027368299166362,33600,0.11768895361158582,,
14,7,0.000296810769274695,-0.029661960143312172,0.10492150036493945,38400,0.13695490770869784,,
18,8,0.0015921285183746173,-0.025933569017797708,0.10187656726439796,43200,0.1561487442917294,,
28,9,0.00034566895404471626,-0.03459628524554622,0.08939774988094969,48000,0.17538323362668357,,
39,10,0.00024920857201019925,-0.044461779296671014,0.09175719360510506,52800,0.1948886137538486,,
50,11,0.0021864916820656314,-0.034382683396324866,0.08864053666591643,57600,0.2141888952255249,,
61,12,0.003969281150724176,-0.03550688497519635,0.09432891297340394,62400,0.23322725978162553,,
70,13,0.003952132093248414,-0.03839356791637935,0.08995223093032835,67200,0.25217949410279594,,
85,14,0.0033147281776109592,-0.035140345381902686,0.09901045405864704,72000,0.2712821760442522,,
95,15,0.0007736293292206635,-0.03974795947384943,0.08782388887802763,76800,0.29003896600670287,,
102,16,0.0018377620902659448,-0.03958485984118549,0.10034931830565134,81600,0.3085231220722198,,
110,17,0.0037968548932137006,-0.028015702228367446,0.09278041821718214,86400,0.3270650971598095,,
123,18,0.001065139888851263,-0.03272178535204754,0.10579101351896927,91200,0.3460483019881778,,
142,19,0.0017295870585257943,-0.04202773149348407,0.1099973303476969,96000,0.3650799819495943,,
152,20,0.004393871757626281,-0.032751032422205145,0.1118878974914551,100800,0.38381690204143526,,
160,21,0.0019800088360170777,-0.04441887938852839,0.1229834771553676,105600,0.40252196106645793,,
170,22,0.0073723432420592875,-0.037701089640904684,0.11844238468011219,110400,0.4214756354358461,,
174,23,0.0016978098490047463,-0.047448175085457935,0.12121994121869403,115200,0.44035000834200116,,
178,24,0.002278631165245315,-0.04035690691551205,0.12318222538630175,120000,0.4593726360135608,,
191,25,0.0034664492228936674,-0.038599292932243165,0.12037558988730121,124800,0.47848742451932696,,
204,26,0.003031051673648714,-0.035500315427373155,0.11754586120446514,129600,0.4974256759881973,,
213,27,0.001393430572898069,-0.04196830312478899,0.11315351943174999,134400,0.5410223451587889,,
232,28,0.004414242642208895,-0.03431327998957082,0.11493981675306951,139200,0.5598751796616448,,
242,29,0.0020770101669162007,-0.043053964464403786,0.12704909483591723,144000,0.5786431596014234,,
255,30,0.008625861875467914,-0.03161259736043576,0.124103595852852,148800,0.5974789355198542,,
264,31,0.0028663663664701745,-0.038284327215054266,0.12619816780090323,153600,0.6161960490544637,,
276,32,0.00538329280304121,-0.03735209550941363,0.13694130794207254,158400,0.6351650964551502,,
285,33,0.0026303116541384953,-0.05003394756034443,0.13416778580347707,163200,0.6541335511869855,,
295,34,0.0046691396945486,-0.03511397909860534,0.1318203034798305,168000,0.6725471820433935,,
302,35,0.0024438346352932665,-0.04725508038560899,0.12961192413171127,172800,0.6911301232708825,,
317,36,0.003108418680009587,-0.045549680417995356,0.14681371343135838,177600,0.709684644540151,,
331,37,0.002602735107696693,-0.04717927951545183,0.1491773687998453,182400,0.7282223500145806,,
341,38,0.0008790249195347618,-0.0458829491670258,0.14343226329485573,187200,0.7468803881936603,,
350,39,0.0017948550783330574,-0.044677450065501036,0.1473119449218114,192000,0.7654081933365928,,
354,40,0.0012329111662741827,-0.0452170693128816,0.14986004114151005,196800,0.7843058474858602,,
368,41,0.005497585102906062,-0.03591137908544321,0.1413870287338893,201600,0.8029196524620056,,
378,42,0.0019636735620830827,-0.04583876803323316,0.1384905749956767,206400,0.821481442451477,,
387,43,0.002721654633205617,-0.050247030425816776,0.14102648687362668,211200,0.8403268142541249,,
395,44,0.0015692925324401585,-0.04444477841194991,0.1365705232620239,216000,0.8590928603543175,,
404,45,0.00414510060363682,-0.04462364448336302,0.12746745137373602,220800,0.8778680874903997,,
415,46,0.0024147403592602737,-0.04284941903606523,0.13382307771841687,225600,0.8966479537884394,,
425,47,0.0014374957427207846,-0.04934791833429699,0.13474100315570833,230400,0.9156075090832181,,
440,48,0.00458801255566262,-0.037309060550978754,0.12496827181180313,235200,0.9341188355286916,,
448,49,0.002681850670584633,-0.04478649650942922,0.1317448765834173,240000,0.9528881067699856,,
462,50,0.003555520422257056,-0.04383226316300958,0.1338034475644429,244800,0.9716464628775915,,
468,51,0.002410095817685942,-0.04373827276237231,0.13065859246253972,249600,0.9904374930593702,,
479,52,0.003159360387871857,-0.04419234546652054,0.13152940332889548,254400,1.0339511603116989,,
488,53,0.0012823527769190454,-0.052653742213442455,0.1417805304129917,259200,1.0524426525831223,,
500,54,0.001814944637529455,-0.03898485321615226,0.12861751699447635,264000,1.0708662407928042,,
506,55,0.0018460494648631235,-0.042071600708125816,0.1352431139548619,268800,1.0897834103637272,,
511,56,0.0005082902642849755,-0.052309881582914386,0.13253985015551248,273600,1.1086839116944207,,
519,57,0.0023827855674123082,-0.040916853180200025,0.12478890331586215,278400,1.127725481920772,,
528,58,0.002063125126126882,-0.04957069701279882,0.1263345855077108,283200,1.1464530632230971,,
535,59,0.0008028201910443993,-0.04674240293770708,0.1153268169959386,288000,1.16480726480484,,
548,60,0.0022872726007335587,-0.044757146875478306,0.11955822555224097,292800,1.1837230359845692,,
561,61,0.0005684291042295323,-0.04986863416068748,0.11829905724525451,297600,1.2027462106280857,,
567,62,0.0006891074272668145,-0.053004121780675935,0.1268867888053259,302400,1.2215194965733422,,
576,63,0.004165028419386848,-0.03892417621985563,0.1162818138202031,307200,1.2401792296436098,,
587,64,0.0014143305740920672,-0.04680396674011718,0.12099732375144949,312000,1.259277414282163,,
595,65,0.002568860822793795,-0.04482468917873727,0.12027592917283379,316800,1.2784570790661707,,
609,66,0.0035858269375845945,-0.04281950685817719,0.1242740282615026,321600,1.2973808263407813,,
623,67,0.002516073098255826,-0.04050928340123695,0.12713948770364128,326400,1.3159340428643755,,
628,68,0.0007505140359474657,-0.048357514563637474,0.12697213971614832,331200,1.3345828813976712,,
635,69,0.003499993983253565,-0.044515648984330865,0.13012775214513142,336000,1.3539118713140488,,
641,70,0.00199117028235681,-0.045851800067612206,0.1354863472779591,340800,1.3725895477665795,,
657,71,0.003793131397954615,-0.041315153830297886,0.1290797902743022,345600,1.391450988849004,,
667,72,0.0022730103738770897,-0.041552627468384645,0.12678742309411367,350400,1.4103528516160118,,
672,73,0.0025086822531496483,-0.04203494979277214,0.13333753708998358,355200,1.4292365915907754,,
681,74,0.0026742418337865575,-0.04719519944119384,0.1283151846726735,360000,1.448185376127561,,
691,75,0.004646805452527284,-0.030324303862532057,0.12078183734416958,364800,1.4673146735297309,,
702,76,0.0021062813180227143,-0.04361582276821233,0.12282510948181156,369600,1.4866210927565893,,
713,77,0.0023510062493490597,-0.04460796332114114,0.12389932024478914,374400,1.5387001936303244,,
725,78,0.003263536929080146,-0.03827683915066397,0.11862477854887644,379200,1.558456717663341,,
737,79,0.0026433205105907596,-0.04167863765637681,0.12504755985736854,384000,1.578023416068819,,
747,80,0.0018614902849246088,-0.04300515251804124,0.11371145606040957,388800,1.59732628762722,,
762,81,0.003304100939446168,-0.03922939329061895,0.10719874302546187,393600,1.616247360110283,,
777,82,0.0047603330134734275,-0.042238859775655634,0.10952599593003591,398400,1.6351326086786058,,
785,83,0.0022860287448565942,-0.0497292352766029,0.1145836599270503,403200,1.6545353620582157,,
795,84,0.0030056777490244714,-0.04887727272310561,0.11157352964083357,408000,1.67372611562411,,
810,85,0.0022919470517081208,-0.05134710420825286,0.11598096311092368,412800,1.6924700724416308,,
819,86,0.002637198511123036,-0.05075766188710986,0.12408716595172883,417600,1.711260664595498,,
829,87,0.002358929968007336,-0.05120336846072557,0.12896050667762754,422400,1.730312211977111,,
