update_num,opponent_policy_id,num_eval_episodes,policy_win_frac,avg_game_length,avg_num_policy_decisions,avg_victory_points
25,random,32,0.00390625,1635.25,417.40625,5.0625
50,random,32,0.0068359375,1791.21875,472.6875,5.65625
75,random,32,0.005859375,2140.59375,565.34375,5.96875
100,random,32,0.015625,1495.59375,412.3125,7.5625
100,25 updates ago,32,0.017578125,2076.625,530.75,8.09375
125,random,32,0.00390625,1881.3125,466.09375,5.0
125,25 updates ago,32,0.0029296875,1533.0,371.21875,4.5
150,random,32,0.0078125,1849.9375,479.09375,5.875
150,25 updates ago,32,0.005859375,2252.65625,564.5625,6.21875
175,random,32,0.00390625,1839.0,467.34375,5.375
175,25 updates ago,32,0.0087890625,1567.6875,400.1875,6.0
200,random,32,0.0048828125,1844.1875,466.3125,5.78125
200,25 updates ago,32,0.0126953125,1745.28125,426.375,6.21875
200,50 updates ago,32,0.01953125,2380.34375,629.4375,8.5625
225,random,32,0.005859375,1686.59375,440.75,5.28125
225,25 updates ago,32,0.005859375,1712.03125,426.1875,6.125
225,50 updates ago,32,0.0048828125,1592.40625,406.0625,4.9375
250,random,32,0.009765625,1672.71875,437.28125,6.34375
250,25 updates ago,32,0.00390625,1726.8125,443.75,6.125
250,50 updates ago,32,0.0068359375,2036.59375,507.78125,6.0625
275,random,32,0.0078125,1470.4375,386.90625,5.71875
275,25 updates ago,32,0.0146484375,2237.59375,548.03125,7.375
275,50 updates ago,32,0.009765625,1759.78125,460.4375,6.46875
300,random,32,0.0078125,1781.96875,446.8125,5.5625
300,25 updates ago,32,0.0048828125,1709.125,432.9375,5.9375
300,50 updates ago,32,0.0126953125,2038.40625,507.4375,6.96875
325,random,32,0.0048828125,1913.375,499.3125,5.0625
325,25 updates ago,32,0.005859375,1977.46875,490.28125,5.34375
325,50 updates ago,32,0.0087890625,1655.875,420.5,5.71875
350,random,32,0.009765625,1774.34375,456.5625,6.65625
350,25 updates ago,32,0.00390625,1867.53125,493.5,5.34375
350,50 updates ago,32,0.0048828125,1747.25,431.5,5.03125
375,random,32,0.0078125,1707.53125,443.34375,5.71875
375,25 updates ago,32,0.009765625,1751.1875,439.53125,5.96875
375,50 updates ago,32,0.01171875,2100.75,537.78125,7.28125
400,random,32,0.0068359375,1817.59375,466.34375,5.96875
400,25 updates ago,32,0.0146484375,1941.625,493.71875,7.65625
400,50 updates ago,32,0.009765625,1506.28125,378.53125,6.03125
400,100 updates ago,32,0.0263671875,2007.75,546.34375,9.375
425,random,32,0.015625,1598.125,448.125,8.1875
425,25 updates ago,32,0.0126953125,1703.125,427.375,7.46875
425,50 updates ago,32,0.0146484375,1622.625,427.78125,7.65625
425,100 updates ago,32,0.015625,1534.4375,399.125,7.8125
450,random,32,0.01171875,1677.78125,442.15625,6.71875
450,25 updates ago,32,0.005859375,1504.03125,374.75,5.28125
450,50 updates ago,32,0.01171875,1658.875,435.71875,7.125
450,100 updates ago,32,0.0087890625,1851.5625,472.40625,6.6875
475,random,32,0.009765625,1869.78125,511.28125,6.15625
475,25 updates ago,32,0.0078125,1888.0625,469.53125,6.0625
475,50 updates ago,32,0.0126953125,1573.65625,408.96875,6.53125
475,100 updates ago,32,0.005859375,1551.9375,390.5625,5.125
500,random,32,0.0087890625,1767.46875,477.25,6.6875
500,25 updates ago,32,0.009765625,1641.15625,417.5625,6.03125
500,50 updates ago,32,0.0068359375,1937.21875,468.84375,5.65625
500,100 updates ago,32,0.013671875,1712.59375,448.34375,7.5625
525,random,32,0.0126953125,1756.15625,456.5,6.59375
525,25 updates ago,32,0.0048828125,1356.40625,344.125,5.125
525,50 updates ago,32,0.0078125,1730.625,440.5625,5.90625
525,100 updates ago,32,0.013671875,1786.40625,475.15625,7.4375
550,random,32,0.01171875,1704.40625,445.15625,5.9375
550,25 updates ago,32,0.005859375,1706.125,416.5625,5.125
550,50 updates ago,32,0.0048828125,1664.8125,407.65625,5.40625
550,100 updates ago,32,0.0107421875,1755.53125,449.0,6.3125
575,random,32,0.005859375,1603.09375,412.90625,5.375
575,25 updates ago,32,0.0029296875,1683.46875,398.3125,5.59375
575,50 updates ago,32,0.009765625,1791.09375,453.9375,6.15625
575,100 updates ago,32,0.0087890625,1811.75,478.0625,6.3125
600,random,32,0.013671875,1651.28125,438.5,7.3125
600,25 updates ago,32,0.0078125,1574.34375,389.09375,5.625
600,50 updates ago,32,0.0126953125,1782.6875,466.0,7.625
600,100 updates ago,32,0.0087890625,1684.5,439.9375,6.1875
625,random,32,0.0107421875,1613.15625,417.875,6.9375
625,25 updates ago,32,0.00390625,1473.90625,362.84375,5.125
625,50 updates ago,32,0.0048828125,1493.5625,382.90625,5.84375
625,100 updates ago,32,0.0068359375,1755.0,453.375,6.59375
650,random,32,0.0068359375,1757.0,458.46875,5.59375
650,25 updates ago,32,0.0068359375,1759.875,448.21875,6.375
650,50 updates ago,32,0.005859375,1769.1875,456.8125,5.53125
650,100 updates ago,32,0.0078125,1571.6875,403.625,6.0
675,random,32,0.0087890625,1405.0,363.21875,6.4375
675,25 updates ago,32,0.0126953125,1700.28125,430.71875,7.09375
675,50 updates ago,32,0.0087890625,1792.84375,435.03125,7.0625
675,100 updates ago,32,0.013671875,1776.96875,453.34375,6.9375
700,random,32,0.005859375,1907.90625,498.9375,6.21875
700,25 updates ago,32,0.0068359375,1516.375,371.65625,5.5
700,50 updates ago,32,0.0048828125,1378.71875,336.625,5.28125
700,100 updates ago,32,0.0078125,1950.96875,501.84375,6.5
725,random,32,0.009765625,1571.3125,421.6875,6.875
725,25 updates ago,32,0.0087890625,1371.875,337.03125,6.34375
725,50 updates ago,32,0.0029296875,1468.125,362.3125,5.5
725,100 updates ago,32,0.0068359375,1866.3125,471.4375,6.90625
750,random,32,0.0087890625,1703.125,444.125,6.59375
750,25 updates ago,32,0.0078125,1512.21875,382.625,6.875
750,50 updates ago,32,0.0078125,1902.59375,479.6875,6.34375
750,100 updates ago,32,0.00390625,1645.71875,397.40625,5.53125
775,random,32,0.0068359375,1580.15625,414.90625,6.09375
775,25 updates ago,32,0.0068359375,1601.59375,396.8125,6.0
775,50 updates ago,32,0.0087890625,1686.875,423.375,6.65625
775,100 updates ago,32,0.00390625,1880.09375,446.90625,5.1875
800,random,32,0.01171875,1718.84375,466.4375,7.03125
800,25 updates ago,32,0.0107421875,1607.0625,415.75,6.6875
800,50 updates ago,32,0.0029296875,1724.15625,439.34375,5.71875
800,100 updates ago,32,0.0107421875,1793.5625,475.75,7.875
825,random,32,0.0146484375,1611.375,439.71875,7.15625
825,25 updates ago,32,0.0087890625,1590.0,419.625,7.25
825,50 updates ago,32,0.0078125,1639.84375,414.40625,6.78125
825,100 updates ago,32,0.009765625,1511.34375,377.625,6.40625
